id,last_name,first_name,birth_yr,death_yr,profession_1_2
nm0451321,Khan,Shah Rukh,1965,,actor/producer
nm0006795,Khan,Salman,1965,,actor/producer
nm0451148,Khan,Aamir,1965,,actor/producer
nm0451326,Khan,Sohail,1969,,actor
nm0451311,Khan,Salim,1934,,writer/actor/producer
nm0451257,Khan,Mansoor,,,director/producer
nm1405359,Khan,Imraan,1983,,actor/director
nm0451170,Khan,Arbaaz,1967,,actor/producer/director
nm0007228,Khan,Fardeen,1972,,actor
nm0451211,Khan,Feroze,1939,2009,actor/producer/director
nm0451313,Khan,Sanjay,1940,,actor/director/producer
nm1139068,Khan,Akbar,1949,,director/writer/producer
nm1300301,Khan,Zayed,1980,,actor
nm1539779,Khan,Nikhat,1966,,producer
nm0451207,Khan,Faisal,1966,,actor
nm0004435,Khanna,Rajesh,1942,2012,actor
nm0451392,Khanna,Rinke,1977,,actor
nm0451396,Khanna,Vinod,1946,2017,actor
nm0451391,Khanna,Rahul,1972,,actor
nm0451379,Khanna,Akshaye,1975,,actor
nm1279922,Khatter,Rajesh,1966,,actor
nm2020109,Khatter,Ishaan,1995,,actor
nm0451600,Kher ,Anupam,1955,,actor/producer
nm1199508,Kher ,Raju,,,actor
nm0451601,Kher ,Kirron,1955,,actor
nm3071488,Kher ,Sikandar,1980,,actor
nm0474876,Kumar,Sanjeev,1938,1985,actor
nm0474774,Kumar,Akshay,1967,,actor/producer
nm0527453,Luthria,Milan,,,director
nm0007107,Matondkar,Urmila,1974,,actor
nm0592583,Mirza,Aziz,,,director/producer
nm0592578,Mirza,Akhtar,,,writer
nm0592595,Mirza,Saeed,,,director
nm2209781,Mukerjee,Ayan,,,director/actor
nm1642511,Mukherjee,Sashadhar,1909,1990,producer
nm0611527,Mukherjee,Gyan,1909,1956,director
nm0611535,Mukherjee,Joy,1939,2012,actor
nm0971111,Mukherjee,Deb,,,actor/director/producer
nm1126884,Mukherjee,Shomu,1943,2008,director/writer/producer
nm0611582,Mukherjee,Subodh,1921,2005,director
nm0611550,Mukherjee,Ram,,2017,director
nm0611552,Mukherjee,Rani,1978,,actor
nm1166510,Mukherjee,Sharbani,,,actor
nm0611558,Mukherjee,Samrat,,,actor
nm5619229,Mukherjee,Raja,,,director
nm0849863,Mukherjee,Tanuja,1943,,actor
nm0618898,Nadiadwala,Sajid,1966,,producer/writer
nm2143210,Nair,Onjolee,,,director
nf0004294,Nanda,Nikhil,1974,,business
nf0004293,Nanda,Ritu Kapoor,1948,,business
nf0000822,Nanda,Shweta Bachchan,1974,,journalist
nm0707534,Nath,Reema ,,,writer/director
nm0992664,Nath,Karan,1974,,actor
nm0632615,Nischol,Navin,1946,2011,actor
nm1059103,Oberoi,Vivek,1976,,actor
nm0643350,Oberoi,Suresh,1946,,actor
nm0643348,Oberoi,Akshay,1985,,actor
nm0659156,Pancholi,Aditya,1965,,actor/producer
nm4808460,Pancholi,Sooraj,1990,,actor
nm0665351,Patel,Anuradha,,,actor
nm0665544,Pathak,Dina,1922,2002,actor
nm0665554,Pathak,Supriya,1961,,actor
nm0665550,Pathak,Ratna,1963,,actor
nm0665599,Patil,Smita,1955,1986,actor
nm0713618,Razdan,Soni,1956,,actor
nm0713615,Razdan,Karan,,,writer/director/actor
nm0004335,Roshan,Hrithik,1974,,actor
nm0004363,Roshan,Rakesh,1949,,director/producer/actor
nm0004436,Roshan,Rajesh,1955,,music composer
nm0004362,Roshan,,1917,1967,music composer
nm0756379,Sahni,Balraj,1913,1973,actor/director
nm0756380,Sahni,Bhisham,,,writer/actor/producer
nm0759662,Samanta,Shakti,1926,2009,director/producer
nm1062896,Samanta,Ashim,,,director/producer
nm0047009,Bai,Rattan,1890,,actor
nf0006357,Samarth,Kumarsen,,,director
nm0006358,Samarth,Shobhana,1916,2000,actor/director
nm0638295,Samarth,Nutan,1936,1991,actor
nm0764316,Santoshi,Rajkumar,,,director/producer/writer
nm0764314,Santoshi,P. L.,,,producer/director
nm1927212,Sapru,D. K.,1916,1979,actor
nm0764667,Sapru,Priti,1961,,actor/writer
nm0764669,Sapru,Tej,,,actor/director
nm0787462,Shah,Naseeruddin,1950,,actor
nm1437485,Shah,Imaad,,,actor/music/writer
nm3865073,Shah,Vivaan,,,actor
nm0792911,Shetty,Sunil,1961,,actor
nm7508187,Shetty,Athiya,1992,,actor
nm0794484,Shivdasani,Hari,1909,1994,actor
nm0623321,Shivdasani,Sadhana,1941,2015,actor
nm1228897,Shroff,Ayesha,1960,,producer/actor
nm0006763,Shroff,Jackie,1957,,actor
nm5899377,Shroff,Tiger,1989,,actor
nm1942776,Singh,Kanwaljit,,,actor
nm1887138,Suri,Mohit,1981,,director
nm2124966,Suri,Smiley,1983,,actor
nm0839634,Suri,Sanjay,1971,,actor/producer
nm0846616,Tagore,Sharmila,1944,,
nm0894340,Verma,Deven,1937,2014,actor
nm4858207,Virwani,Tanuj,1986,,actor
nm0906226,Wahab,Zarina,1959,,actor
nm0415274,,Jaddanbai,1892,1949,director/writer/actor
nm0534866,,Madhoo,1972,,actor
nm0004564,Hema,Malini,1948,,actor/producer/director
nm0534870,,Madhubala,1933,1969,actor
,Mehta,Jay,,,business
nm8562373,Ambani,Anil,,,producer
nm0612870,Ambani,Tina,1957,,actor
nm0451215,Khan,Gauri,1970,,producer
nm0374974,Khan,Helen,1938,,actor
nm1027791,Anand,Bittu,,,other
nm0159147,Chopra,Aditya,1971,,producer/director
nm0004487,Chawla,Juhi,1967,,actor/producer
